artist_name,specific_genre
"dave dee, dozy, beaky, mick & tich",nederpop
"dave dee, dozy, beaky, mick & tich",rock-and-roll
walter wanderley,bossa nova
walter wanderley,exotica
walter wanderley,jazz organ
walter wanderley,lounge
walter wanderley,space age pop
crispian st. peters,british invasion
crispian st. peters,bubblegum pop
crispian st. peters,merseybeat
crispian st. peters,rock-and-roll
van dyke parks,art pop
van dyke parks,baroque pop
the tremeloes,adult standards
the tremeloes,beatlesque
the tremeloes,brill building pop
the tremeloes,british invasion
the tremeloes,bubblegum pop
the tremeloes,classic uk pop
the tremeloes,folk rock
the tremeloes,merseybeat
the tremeloes,nederpop
the tremeloes,rock-and-roll
the tremeloes,rockabilly
the young rascals,brill building pop
the young rascals,bubblegum pop
the young rascals,classic rock
the young rascals,country rock
the young rascals,folk rock
the young rascals,mellow gold
the young rascals,merseybeat
the young rascals,motown
the young rascals,psychedelic rock
the young rascals,rock-and-roll
the box tops,brill building pop
the box tops,bubblegum pop
the box tops,folk rock
the box tops,merseybeat
harpers bizarre,brill building pop
harpers bizarre,bubblegum pop
harpers bizarre,sunshine pop
procol harum,album rock
procol harum,art rock
procol harum,blues rock
procol harum,british invasion
procol harum,classic rock
procol harum,folk rock
procol harum,progressive rock
procol harum,psychedelic rock
procol harum,symphonic rock
the association,adult standards
the association,brill building pop
the association,bubblegum pop
the association,classic rock
the association,country rock
the association,folk rock
the association,mellow gold
the association,merseybeat
the association,psychedelic rock
the association,soft rock
the association,sunshine pop
tommy james & the shondells,brill building pop
tommy james & the shondells,bubblegum pop
tommy james & the shondells,classic garage rock
tommy james & the shondells,classic rock
tommy james & the shondells,country rock
tommy james & the shondells,folk rock
tommy james & the shondells,mellow gold
tommy james & the shondells,merseybeat
tommy james & the shondells,psychedelic rock
tommy james & the shondells,rock
tommy james & the shondells,rock-and-roll
tommy james & the shondells,soft rock
gene clark,alternative country
gene clark,baroque pop
gene clark,cosmic american
gene clark,country rock
gene clark,folk
gene clark,folk rock
gene clark,psychedelic rock
gene clark,pub rock
gene clark,roots rock
gene clark,singer-songwriter
